context_feature_set,run_seed,transition,count,seed_total,rate
funding_plus_activity,45,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179
funding_plus_activity,46,both_correct,850,1441,0.5898681471200555
funding_plus_activity,46,both_wrong,583,1441,0.4045801526717557
funding_plus_activity,46,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
funding_plus_activity,46,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
funding_plus_cftc_oi,42,both_correct,864,1441,0.5995836224843858
funding_plus_cftc_oi,42,both_wrong,569,1441,0.3948646773074254
funding_plus_cftc_oi,42,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
funding_plus_cftc_oi,42,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
funding_plus_cftc_oi,43,both_correct,816,1441,0.5662734212352533
funding_plus_cftc_oi,43,both_wrong,602,1441,0.417765440666204
funding_plus_cftc_oi,43,stage2_correct_to_stage4_wrong,12,1441,0.0083275503122831
funding_plus_cftc_oi,43,stage2_wrong_to_stage4_correct,11,1441,0.0076335877862595
funding_plus_cftc_oi,44,both_correct,802,1441,0.556557945870923
funding_plus_cftc_oi,44,both_wrong,620,1441,0.4302567661346287
funding_plus_cftc_oi,44,stage2_correct_to_stage4_wrong,9,1441,0.0062456627342123
funding_plus_cftc_oi,44,stage2_wrong_to_stage4_correct,10,1441,0.0069396252602359
funding_plus_cftc_oi,45,both_correct,804,1441,0.5579458709229702
funding_plus_cftc_oi,45,both_wrong,621,1441,0.4309507286606523
funding_plus_cftc_oi,45,stage2_correct_to_stage4_wrong,7,1441,0.0048577376821651
funding_plus_cftc_oi,45,stage2_wrong_to_stage4_correct,9,1441,0.0062456627342123
funding_plus_cftc_oi,46,both_correct,850,1441,0.5898681471200555
funding_plus_cftc_oi,46,both_wrong,581,1441,0.4031922276197085
funding_plus_cftc_oi,46,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
funding_plus_cftc_oi,46,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179
funding_plus_activity_plus_cftc_oi,42,both_correct,866,1441,0.600971547536433
funding_plus_activity_plus_cftc_oi,42,both_wrong,569,1441,0.3948646773074254
funding_plus_activity_plus_cftc_oi,42,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
funding_plus_activity_plus_cftc_oi,42,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
funding_plus_activity_plus_cftc_oi,43,both_correct,820,1441,0.5690492713393477
funding_plus_activity_plus_cftc_oi,43,both_wrong,606,1441,0.4205412907702984
funding_plus_activity_plus_cftc_oi,43,stage2_correct_to_stage4_wrong,8,1441,0.0055517002081887
funding_plus_activity_plus_cftc_oi,43,stage2_wrong_to_stage4_correct,7,1441,0.0048577376821651
funding_plus_activity_plus_cftc_oi,44,both_correct,798,1441,0.5537820957668286
funding_plus_activity_plus_cftc_oi,44,both_wrong,616,1441,0.4274809160305343
funding_plus_activity_plus_cftc_oi,44,stage2_correct_to_stage4_wrong,13,1441,0.0090215128383067
funding_plus_activity_plus_cftc_oi,44,stage2_wrong_to_stage4_correct,14,1441,0.0097154753643303
funding_plus_activity_plus_cftc_oi,45,both_correct,803,1441,0.5572519083969466
funding_plus_activity_plus_cftc_oi,45,both_wrong,623,1441,0.4323386537126995
funding_plus_activity_plus_cftc_oi,45,stage2_correct_to_stage4_wrong,8,1441,0.0055517002081887
funding_plus_activity_plus_cftc_oi,45,stage2_wrong_to_stage4_correct,7,1441,0.0048577376821651
funding_plus_activity_plus_cftc_oi,46,both_correct,844,1441,0.5857043719639139
funding_plus_activity_plus_cftc_oi,46,both_wrong,578,1441,0.4011103400416377
funding_plus_activity_plus_cftc_oi,46,stage2_correct_to_stage4_wrong,11,1441,0.0076335877862595
funding_plus_activity_plus_cftc_oi,46,stage2_wrong_to_stage4_correct,8,1441,0.0055517002081887
