component_index,component_feature_suffix,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights
12,12,0.018599149112587653,adds billion | bithumb | imperial | china central | market adds | kodak | billion hours | israel | insider | price soar | await | highly,0.053623 | 0.048630 | 0.046416 | 0.045760 | 0.045125 | 0.043849 | 0.042799 | 0.042669 | 0.042371 | 0.041390 | 0.041359 | 0.041020,analysis btc | intraday | intraday analysis | price intraday | stanley | morgan stanley | bitcoin heist | btc usd | sep gates | berkshire charlie | gates | robert shiller,-0.050472 | -0.046271 | -0.046193 | -0.046193 | -0.041128 | -0.041128 | -0.040781 | -0.040151 | -0.039671 | -0.039671 | -0.039416 | -0.038736
13,13,0.018074275710334157,dips level | mining difficulty | coronavirus | biden | roundup june | changed | htc | sep htc | wrap stocks | zap | attack | difficulty,0.047366 | 0.044824 | 0.041323 | 0.041144 | 0.040144 | 0.039737 | 0.037656 | 0.037315 | 0.037127 | 0.036192 | 0.035387 | 0.035090,christmas | bitcoin ripple | hour | august | august sep | pyramid | pyramid scheme | bitcoin pyramid | analysis august | locked sep | iran | adjusted,-0.052157 | -0.041682 | -0.040128 | -0.039770 | -0.038218 | -0.037569 | -0.037569 | -0.037569 | -0.037466 | -0.037146 | -0.036997 | -0.035951
14,14,0.0170721429920005,vaneck solidx | solidx | clayton bitcoin | chair clayton | recap | watford | etf like | clayton | colombia | sec chair | venezuela | mid morning,0.054150 | 0.050124 | 0.044392 | 0.044392 | 0.043227 | 0.041559 | 0.041007 | 0.040837 | 0.038973 | 0.038801 | 0.038340 | 0.037901,podcast | american wrap | litecoin american | dips level | sep northern | facebook libra | plummets | death cross | bitcoin ripple | bitcoin plummets | sep podcast | markets,-0.052923 | -0.045687 | -0.044440 | -0.042421 | -0.042261 | -0.041946 | -0.039867 | -0.038700 | -0.036386 | -0.036371 | -0.033954 | -0.033813
15,15,0.01583368636988949,analysis btc | york sep | zealand | new zealand | ruin bitcoin | ruin | daily roundup | currency daily | elon | elon musk | musk | bitlicense,0.048011 | 0.046211 | 0.045326 | 0.045326 | 0.045036 | 0.045036 | 0.043911 | 0.043911 | 0.041846 | 0.041846 | 0.041631 | 0.041177,btcusd | analysis btcusd | rat poison | rat | loses | calls | prices rise | poison | bitcoin rat | munger | term sep | exchange ceo,-0.046887 | -0.046887 | -0.046519 | -0.046519 | -0.044221 | -0.041893 | -0.041596 | -0.040850 | -0.039869 | -0.039244 | -0.037512 | -0.036418
16,16,0.014973667789302732,sep uk | tech analysis | revival sep | set | uk | users | ripple litecoin | april sep | april | cash abc | delist | senator,0.050917 | 0.044202 | 0.041437 | 0.041031 | 0.039826 | 0.039131 | 0.038348 | 0.037848 | 0.037785 | 0.037134 | 0.035929 | 0.035843,child porn | child | site sep | open | porn site | bitcoin trail | node | zuckerberg | startup | halvening | bitcoin failed | eth xrp,-0.050322 | -0.050322 | -0.046944 | -0.046301 | -0.045977 | -0.040341 | -0.038668 | -0.038138 | -0.036311 | -0.035936 | -0.035920 | -0.034739
17,17,0.013821200588631769,analysis september | september | roundup june | september sep | michael saylor | microstrategy michael | news roundup | chart | saylor | federal reserve | pattern sep | gibraltar,0.060813 | 0.054118 | 0.054117 | 0.046660 | 0.040967 | 0.040967 | 0.040892 | 0.040093 | 0.038901 | 0.038697 | 0.038458 | 0.038060,biden | dalio | twitter hack | time high | darknet | sep twitter | analysis november | grayscale | july | november sep | druckenmiller | exec says,-0.051983 | -0.051312 | -0.047302 | -0.046056 | -0.038887 | -0.038783 | -0.038446 | -0.037773 | -0.037205 | -0.035265 | -0.034380 | -0.034009
18,18,0.013311549435446685,christmas | institutional | forecast btc | impact | ago | usd | sep year | started | lessons | hold sep | btc usd | fell,0.051885 | 0.045760 | 0.043563 | 0.036842 | 0.036505 | 0.035730 | 0.035417 | 0.034235 | 0.033326 | 0.033259 | 0.032207 | 0.031969,winklevoss | feb | roundup november | anniversary sep | cash hard | feb sep | jack dorsey | ripple eos | twins | winklevoss twins | september sep | insider trading,-0.057221 | -0.040125 | -0.038402 | -0.038033 | -0.036869 | -0.035720 | -0.035129 | -0.034851 | -0.034586 | -0.034586 | -0.034263 | -0.033656
19,19,0.012303232497005713,tech analysis | bitcoin pyramid | pyramid | pyramid scheme | litecoin american | ethereum litecoin | sep bitwise | billions | pull | abc eos | daily tech | proposal,0.052404 | 0.048774 | 0.048774 | 0.048774 | 0.048407 | 0.047882 | 0.046424 | 0.044013 | 0.042699 | 0.042540 | 0.042540 | 0.042283,rally | golden | golden cross | grows | right | raises series | right bitcoin | abc litecoin | likely | halvening | cross | software,-0.046371 | -0.046071 | -0.043287 | -0.040617 | -0.038583 | -0.038396 | -0.038358 | -0.036778 | -0.036525 | -0.035948 | -0.035696 | -0.034155
20,20,0.011802715994584108,bitcoin ripple | price prediction | rights | sep bitcoiners | pizza | prediction | fork | giant sep | hard fork | vaccine | offer bitcoin | bitcoin addresses,0.050469 | 0.041522 | 0.038442 | 0.035494 | 0.034663 | 0.033978 | 0.033787 | 0.033427 | 0.033212 | 0.032778 | 0.032753 | 0.032276,ada | stock exchange | reason | bitmex | btc eth | federal | site | federal reserve | analysis september | volumes | fell | bitcoin stuck,-0.042612 | -0.042290 | -0.039093 | -0.038164 | -0.037342 | -0.036134 | -0.035336 | -0.034673 | -0.034381 | -0.033314 | -0.033240 | -0.033090
21,21,0.01117585233544986,sep chinese | september | chinese | bitcoin slips | bitcoin investor | bitcoin buy | donations sep | south | heist | peer | south korea | donations,0.036691 | 0.036436 | 0.035680 | 0.034210 | 0.033797 | 0.033727 | 0.033073 | 0.032692 | 0.032342 | 0.031625 | 0.031411 | 0.031375,xrp | plunges | ripple ceo | sec chairman | past | time high | accepted | bitcoin accepted | sep vaneck | dips level | bitcoin plunges | march sep,-0.042546 | -0.041861 | -0.041439 | -0.040393 | -0.039821 | -0.036514 | -0.035226 | -0.035226 | -0.034869 | -0.033679 | -0.033295 | -0.033037
22,22,0.010814186472558584,hack | hack sep | price manipulation | btcusd | analysis btcusd | manipulation | twitter hack | cardano | bitcoin sticks | garlinghouse | tron | sticks,0.056697 | 0.046491 | 0.039209 | 0.037465 | 0.037465 | 0.037413 | 0.036189 | 0.035743 | 0.033734 | 0.033669 | 0.033653 | 0.033345,candidate | prison | bust | korea | wall street | south korea | senate | dalio | step | central bank | gov | years sep,-0.036732 | -0.035747 | -0.035190 | -0.033443 | -0.033084 | -0.033001 | -0.032947 | -0.032849 | -0.032487 | -0.032245 | -0.032067 | -0.032031
23,23,0.010278725222235602,bitcoin scam | ada | north | lows sep | ethereum daily | portfolio | tech analysis | twitter hack | continue | sep open | seized bitcoin | tech,0.043163 | 0.037124 | 0.035422 | 0.035239 | 0.034151 | 0.033582 | 0.033161 | 0.032426 | 0.032204 | 0.032076 | 0.031974 | 0.031128,maker canaan | internet | peer | roundup june | maker | miner maker | labs | wallets | dalio | long term | long | price rise,-0.038729 | -0.038461 | -0.037873 | -0.037054 | -0.036691 | -0.036651 | -0.034865 | -0.034008 | -0.033991 | -0.032804 | -0.032099 | -0.032050
24,24,0.00926968787350394,sep bitcoiners | addresses | haven | bitcoin safe | webinar | bitcoin portfolio | webinar est | times add | est | turbulent times | chain capital | bitcoin addresses,0.057811 | 0.056181 | 0.047827 | 0.046477 | 0.043101 | 0.043101 | 0.043101 | 0.043101 | 0.043101 | 0.043101 | 0.043101 | 0.042881,september | fiat | daily | sep crypto | blockchain bites | blockchain | valuation | crypto long | american wrap | ripple | september sep | bites,-0.045863 | -0.042527 | -0.038703 | -0.038476 | -0.037895 | -0.035759 | -0.035742 | -0.035713 | -0.035639 | -0.035348 | -0.035257 | -0.035049
25,25,0.008965692613091953,eos stellar | stellar litecoin | analysis jan | jan sep | cash eos | sv cardano | jan | litecoin tron | ripple ethereum | analysis april | network sep | bitcoin ripple,0.053143 | 0.053143 | 0.049619 | 0.049241 | 0.049144 | 0.048635 | 0.048028 | 0.044084 | 0.038969 | 0.037419 | 0.037303 | 0.037264,sv price | coin bitcoin | copyright | tron binance | trading range | dead | legacy crypto | eos litecoin | minor losses | stellar tron | legacy | cash stellar,-0.047594 | -0.044514 | -0.038294 | -0.033143 | -0.033002 | -0.032622 | -0.032293 | -0.032115 | -0.032084 | -0.031818 | -0.031657 | -0.031442
26,26,0.008634903699935532,china | central bank | takes | climbs level | bitcoin takes | trillions | hours | central | singapore sep | flood | takes aim | bitcoin gains,0.044660 | 0.044656 | 0.042614 | 0.042598 | 0.041632 | 0.041414 | 0.039173 | 0.039143 | 0.037780 | 0.037703 | 0.037657 | 0.037126,economist | bitcoin safe | safe haven | christmas | haven | scheme | bitcoin etf | investor | time high | economist sep | invest bitcoin | safe,-0.049322 | -0.042537 | -0.040894 | -0.040746 | -0.040602 | -0.039224 | -0.039180 | -0.039173 | -0.038170 | -0.036934 | -0.036690 | -0.036475
27,27,0.008266919147066835,bitcoin plunges | ripple ethereum | adds billion | world largest | bitcoin ripple | bubble | april | plunges | payments | passes | malta | bitcoin gains,0.044940 | 0.042633 | 0.038730 | 0.038417 | 0.038307 | 0.036859 | 0.036857 | 0.035899 | 0.034811 | 0.034708 | 0.033922 | 0.033571,anniversary | rejects | boost | bitcoin cash | anniversary sep | finds | trillions | class | platform sep | ripple daily | daily analysis | litecoin ripple,-0.052921 | -0.040987 | -0.038851 | -0.037313 | -0.036527 | -0.036474 | -0.036251 | -0.035086 | -0.034599 | -0.033809 | -0.033809 | -0.033633
28,28,0.007966847752025151,twitter hack | podcast | mover bitcoin | sep podcast | gold hits | webinar | webinar est | bitcoin portfolio | times add | turbulent times | est | chain capital,0.048649 | 0.041635 | 0.040448 | 0.040063 | 0.039972 | 0.039295 | 0.039295 | 0.039295 | 0.039295 | 0.039295 | 0.039295 | 0.039295,porn | spacechain | files | roundup june | ebang | facility | earth | buffett | mining facility | open | quiet | rates,-0.037653 | -0.037542 | -0.036203 | -0.035971 | -0.034758 | -0.034451 | -0.034225 | -0.033843 | -0.033466 | -0.033307 | -0.032753 | -0.032729
29,29,0.007799287015555064,decade | haven | safe haven | year | bitcoin private | maintains | industry | negative | account | plant | pyramid scheme | pyramid,0.045491 | 0.042110 | 0.039993 | 0.039609 | 0.039464 | 0.039259 | 0.037455 | 0.037161 | 0.037089 | 0.036373 | 0.035703 | 0.035703,donations | bitcoin takes | week crypto | market loses | times | ubs | bitcoin donations | loses billion | turbulent | etf sep | mover bitcoin | sep vaneck,-0.044458 | -0.042156 | -0.035761 | -0.034791 | -0.034227 | -0.033923 | -0.033853 | -0.033668 | -0.033553 | -0.033071 | -0.032007 | -0.032002
30,30,0.007442612655842006,led | thailand | series | raises series | halvening | feb | mixing | feb sep | right bitcoin | upgrade sep | bitcoin takes | developer,0.049069 | 0.046749 | 0.046558 | 0.046352 | 0.042150 | 0.041961 | 0.040756 | 0.040444 | 0.040106 | 0.039973 | 0.039349 | 0.039291,safe haven | haven | average | bitcoin real | bitcoin options | real | did | surge | sep podcast | bitcoin safe | haven asset | based,-0.043775 | -0.042902 | -0.040115 | -0.037081 | -0.036691 | -0.035786 | -0.035706 | -0.034760 | -0.034310 | -0.033469 | -0.033056 | -0.032996
31,31,0.007275276664002344,bitcoin falls | podcast | singapore sep | jack ma | bitcoin bashing | bashing | ripple american | falls | prime | sep podcast | risks | storm,0.051967 | 0.047451 | 0.040219 | 0.039212 | 0.038987 | 0.038987 | 0.038410 | 0.037695 | 0.037689 | 0.037532 | 0.036675 | 0.036605,rights | human rights | new bitcoin | microstrategy | future | human | rights foundation | looks | september sep | inflation | child | child porn,-0.049853 | -0.046335 | -0.045061 | -0.041463 | -0.041003 | -0.038179 | -0.038167 | -0.037776 | -0.036577 | -0.035977 | -0.035837 | -0.035837
