news_item_id,news_time,news_date,source_text,url_text,headline_text,normalized_title,embedding_template,embedding_unit,embedding_input_text,embedding_input_hash,headline_hash,embedding_input_char_count,embedding_input_word_count,title_length_chars,article_length_chars,has_article_text
stage5_news_7038ba9392c38f5d,2018-03-03 11:45:44,2018-03-03,CoinDesk,https://finance.yahoo.com/news/bitcoin-apos-infamous-apos-kimchi-114544560.html,Bitcoin's 'Kimchi Premium' Has All But Evaporated,bitcoins kimchi premium has all but evaporated,headline_only_v1,news_item,Bitcoin's 'Kimchi Premium' Has All But Evaporated,7038ba9392c38f5d11c7e8bb89c160383554e62940cb236a69f3d12cb7e093dc,7038ba9392c38f5d11c7e8bb89c160383554e62940cb236a69f3d12cb7e093dc,49,7,49,3389,True
stage5_news_d02118dc9416f859,2018-03-04 05:28:12,2018-03-04,FX Empire,https://finance.yahoo.com/news/bitcoin-cash-litecoin-ripple-daily-052812936.html,"Bitcoin Cash, Litecoin and Ripple Daily Analysis – 04/03/18",bitcoin cash litecoin and ripple daily analysis  040318,headline_only_v1,news_item,"Bitcoin Cash, Litecoin and Ripple Daily Analysis – 04/03/18",d02118dc9416f8595217627001f4408d8b52511eb9460cb382ccda036120fc3f,d02118dc9416f8595217627001f4408d8b52511eb9460cb382ccda036120fc3f,59,9,59,5184,True
stage5_news_cf057e93b80402c9,2018-03-04 07:38:49,2018-03-04,FX Empire,https://finance.yahoo.com/news/bitcoin-back-red-holding-11-073849728.html,"Bitcoin Back in the Red and Holding on to $11,000",bitcoin back in the red and holding on to 11000,headline_only_v1,news_item,"Bitcoin Back in the Red and Holding on to $11,000",cf057e93b80402c97299f9376e2c3a47caff83d51745948986d0d667cf0814c1,cf057e93b80402c97299f9376e2c3a47caff83d51745948986d0d667cf0814c1,49,10,49,3360,True
stage5_news_7ee98a9f66e6d5a4,2018-03-04 17:42:41,2018-03-04,FX Empire,https://finance.yahoo.com/news/bitcoin-monthly-forecast-march-2018-174241489.html,Bitcoin Monthly Forecast – March 2018,bitcoin monthly forecast  march 2018,headline_only_v1,news_item,Bitcoin Monthly Forecast – March 2018,7ee98a9f66e6d5a4253f50c875582da4948176a49a43c98ccd3257cdd618a226,7ee98a9f66e6d5a4253f50c875582da4948176a49a43c98ccd3257cdd618a226,37,6,37,4033,True
stage5_news_2d2860b45d003e75,2018-03-05 04:03:24,2018-03-05,FX Empire,https://finance.yahoo.com/news/bitcoin-ethereum-price-forecast-btc-040324683.html,Bitcoin and Ethereum Price Forecast – BTC Prices Looking Higher,bitcoin and ethereum price forecast  btc prices looking higher,headline_only_v1,news_item,Bitcoin and Ethereum Price Forecast – BTC Prices Looking Higher,2d2860b45d003e75ebe5486f18d35c2604d0b874ae00725c4194da3e740ac40f,2d2860b45d003e75ebe5486f18d35c2604d0b874ae00725c4194da3e740ac40f,63,10,63,2461,True
stage5_news_0cb6293f4b7deba3,2018-03-05 11:00:58,2018-03-05,CoinDesk,https://finance.yahoo.com/news/break-level-bitcoin-pauses-key-110058541.html,Make-or-Break Level? Bitcoin Pauses at Key Resistance,makeorbreak level bitcoin pauses at key resistance,headline_only_v1,news_item,Make-or-Break Level? Bitcoin Pauses at Key Resistance,0cb6293f4b7deba3ceeb978139e5c3b20f28b866b69fff5332c3caa5a770556b,0cb6293f4b7deba3ceeb978139e5c3b20f28b866b69fff5332c3caa5a770556b,53,7,53,3287,True
stage5_news_9caf32966b4ad7a9,2018-03-05 12:42:51,2018-03-05,Fortune,https://finance.yahoo.com/news/apos-big-bitcoin-heist-apos-124251591.html,'Big Bitcoin Heist'—Iceland Cryptocurrency Thefts Lead to 11 Arrests,big bitcoin heisticeland cryptocurrency thefts lead to 11 arrests,headline_only_v1,news_item,'Big Bitcoin Heist'—Iceland Cryptocurrency Thefts Lead to 11 Arrests,9caf32966b4ad7a9ad285b18bd2447b736c1637d2bd1a2d13b1cadb7221da699,9caf32966b4ad7a9ad285b18bd2447b736c1637d2bd1a2d13b1cadb7221da699,68,9,68,1646,True
stage5_news_817ffc71fe6fa9c8,2018-03-05 13:32:57,2018-03-05,Yahoo Finance,https://finance.yahoo.com/news/dow-open-red-bitcoin-soars-past-11k-133257592.html,"Dow to open in the red, Bitcoin soars past $11K",dow to open in the red bitcoin soars past 11k,headline_only_v1,news_item,"Dow to open in the red, Bitcoin soars past $11K",817ffc71fe6fa9c85a58fd08c8beef8659feaba011e398ff675836271b70d1fc,817ffc71fe6fa9c85a58fd08c8beef8659feaba011e398ff675836271b70d1fc,47,10,47,749,True
stage5_news_5aefc0a06b72426b,2018-03-05 15:30:11,2018-03-05,Fortune,https://finance.yahoo.com/news/coinbase-signals-bitcoin-m-appetite-153011132.html,Coinbase Signals Bitcoin M&A Appetite After Circle-Poloniex Deal,coinbase signals bitcoin ma appetite after circlepoloniex deal,headline_only_v1,news_item,Coinbase Signals Bitcoin M&A Appetite After Circle-Poloniex Deal,5aefc0a06b72426b3ec0ab1fba41f83199bd71dce9e0fcee53890d31565cff43,5aefc0a06b72426b3ec0ab1fba41f83199bd71dce9e0fcee53890d31565cff43,64,8,64,3634,True
stage5_news_f597a9a13f40832e,2018-03-05 17:39:13,2018-03-05,ETF Trends,https://finance.yahoo.com/news/volume-vexes-bitcoin-traders-173913836.html,Volume Vexes Bitcoin Traders,volume vexes bitcoin traders,headline_only_v1,news_item,Volume Vexes Bitcoin Traders,f597a9a13f40832ef9bc7fe819bd4b63447effe15f62c86385ad89ab62b897f7,f597a9a13f40832ef9bc7fe819bd4b63447effe15f62c86385ad89ab62b897f7,28,4,28,2610,True
stage5_news_fe6d43f9a041f56d,2018-03-06 04:05:59,2018-03-06,CoinDesk,https://finance.yahoo.com/news/gmo-mined-millions-dollars-bitcoin-040559178.html,GMO Has Mined Millions of Dollars in Bitcoin Already,gmo has mined millions of dollars in bitcoin already,headline_only_v1,news_item,GMO Has Mined Millions of Dollars in Bitcoin Already,fe6d43f9a041f56d6d9d37c9b651dd37d49cd9cb0d986cce7b71edf99976a163,fe6d43f9a041f56d6d9d37c9b651dd37d49cd9cb0d986cce7b71edf99976a163,52,9,52,1971,True
stage5_news_49e444190e36b061,2018-03-06 19:45:15,2018-03-06,Benzinga,https://finance.yahoo.com/news/creator-gbtc-launches-products-bitcoin-194515767.html,"The Creator Of GBTC Launches New Products For Bitcoin Cash, Ethereum, Litecoin And XRP",the creator of gbtc launches new products for bitcoin cash ethereum litecoin and xrp,headline_only_v1,news_item,"The Creator Of GBTC Launches New Products For Bitcoin Cash, Ethereum, Litecoin And XRP",49e444190e36b0619e75abf6ec3db80851b19db23f9b5471760d4dde359aeef0,49e444190e36b0619e75abf6ec3db80851b19db23f9b5471760d4dde359aeef0,86,14,86,2243,True
stage5_news_61b75216346b526e,2018-03-06 22:52:36,2018-03-06,Fortune,https://finance.yahoo.com/news/coinbase-eyes-bitcoin-etf-cryptocurrency-225236904.html,Coinbase Eyes Bitcoin ETF With New Cryptocurrency Index Fund,coinbase eyes bitcoin etf with new cryptocurrency index fund,headline_only_v1,news_item,Coinbase Eyes Bitcoin ETF With New Cryptocurrency Index Fund,61b75216346b526eea2ea0b0aeadd52d432cba70cc0369d6172d9676f0f8632c,61b75216346b526eea2ea0b0aeadd52d432cba70cc0369d6172d9676f0f8632c,60,9,60,4529,True
stage5_news_6a20f1e41019aa5c,2018-03-07 04:09:36,2018-03-07,Bitcoin Magazine,https://finance.yahoo.com/news/slush-pool-now-compatible-asicboost-040936728.html,Slush Pool is Now Compatible With AsicBoost Bitcoin Miners,slush pool is now compatible with asicboost bitcoin miners,headline_only_v1,news_item,Slush Pool is Now Compatible With AsicBoost Bitcoin Miners,6a20f1e41019aa5cbb631e608815fe408bc7951db31b1acc66ac9226306db387,6a20f1e41019aa5cbb631e608815fe408bc7951db31b1acc66ac9226306db387,58,9,58,3995,True
stage5_news_9d7f8a6fc9f4ca3f,2018-03-07 10:47:34,2018-03-07,Fortune,https://finance.yahoo.com/news/cryptocurrencies-bitcoin-commodities-federal-judge-104734143.html,"Cryptocurrencies Like Bitcoin Are Commodities, Federal Judge Says. Here’s Why That Matters",cryptocurrencies like bitcoin are commodities federal judge says heres why that matters,headline_only_v1,news_item,"Cryptocurrencies Like Bitcoin Are Commodities, Federal Judge Says. Here’s Why That Matters",9d7f8a6fc9f4ca3f7bfe9e7b8fdba05da3d947763885b07f63ff7ae22f3ea3d7,9d7f8a6fc9f4ca3f7bfe9e7b8fdba05da3d947763885b07f63ff7ae22f3ea3d7,90,12,90,1985,True
stage5_news_0848ac72f30132b6,2018-03-07 16:33:29,2018-03-07,Bitcoin Magazine,https://finance.yahoo.com/news/halong-mining-first-bitcoin-mining-163329619.html,Halong Mining Is the First Bitcoin Mining Hardware Producer to Implement Overt AsicBoost,halong mining is the first bitcoin mining hardware producer to implement overt asicboost,headline_only_v1,news_item,Halong Mining Is the First Bitcoin Mining Hardware Producer to Implement Overt AsicBoost,0848ac72f30132b68585b45d4fd26332b1ea21a33a2cb1f8aa8b0f6f7be27bf7,0848ac72f30132b68585b45d4fd26332b1ea21a33a2cb1f8aa8b0f6f7be27bf7,88,13,88,5599,True
stage5_news_2ade9ff0b8b26422,2018-03-07 17:33:00,2018-03-07,Business Insider,https://finance.yahoo.com/news/bitcoin-plummeting-one-world-apos-173300543.html,Bitcoin is plummeting after one of the world's largest cryptocurrency exchanges suspended withdrawals,bitcoin is plummeting after one of the worlds largest cryptocurrency exchanges suspended withdrawals,headline_only_v1,news_item,Bitcoin is plummeting after one of the world's largest cryptocurrency exchanges suspended withdrawals,2ade9ff0b8b264221ff93b5695e84c57942072fcc58b120771237fcc9dbab5dd,2ade9ff0b8b264221ff93b5695e84c57942072fcc58b120771237fcc9dbab5dd,101,13,101,1787,True
stage5_news_7fde4cff8b170b00,2018-03-07 17:39:02,2018-03-07,CoinDesk,https://finance.yahoo.com/news/bitcoin-apos-price-drops-1k-173902710.html,Bitcoin's Price Drops $1K in Sharp Break Below $10K,bitcoins price drops 1k in sharp break below 10k,headline_only_v1,news_item,Bitcoin's Price Drops $1K in Sharp Break Below $10K,7fde4cff8b170b009f09216ac17e0e41096736b6cebf45cde221b9feb1596180,7fde4cff8b170b009f09216ac17e0e41096736b6cebf45cde221b9feb1596180,51,9,51,1977,True
stage5_news_06e4c41363a62c50,2018-03-07 19:58:29,2018-03-07,TechCrunch,https://finance.yahoo.com/news/bitcoin-price-drops-10-hackers-195829163.html,Bitcoin price drops 10% as hackers exploit Binance’s API keys,bitcoin price drops 10 as hackers exploit binances api keys,headline_only_v1,news_item,Bitcoin price drops 10% as hackers exploit Binance’s API keys,06e4c41363a62c50a31b88dfbc5e4024454712d7dfab4c24020bf1e39a09e6ea,06e4c41363a62c50a31b88dfbc5e4024454712d7dfab4c24020bf1e39a09e6ea,61,10,61,2024,True
stage5_news_d84c9531620383b2,2018-03-07 21:17:00,2018-03-07,Motley Fool,https://finance.yahoo.com/news/apos-why-bitcoin-just-dropped-211700164.html,"Here's Why Bitcoin Just Dropped Below $10,000 Again",heres why bitcoin just dropped below 10000 again,headline_only_v1,news_item,"Here's Why Bitcoin Just Dropped Below $10,000 Again",d84c9531620383b24a75ae2d380790a23e976137f8646644a98f31d91f975992,d84c9531620383b24a75ae2d380790a23e976137f8646644a98f31d91f975992,51,8,51,4591,True
