audit_bucket,news_date,source_text,headline_text,finbert_label,finbert_positive_prob,finbert_negative_prob,finbert_neutral_prob,finbert_confidence,finbert_sentiment_score,news_item_id
random,2022-11-08,CoinDesk,"Bitcoin, Crypto-Linked Equities Resume Falling Despite Binance/FTX Deal",negative,0.014911932,0.96909964,0.015988443,0.96909964,-0.9541877,stage5_news_91064c0afcd3ef2a
random,2023-08-24,CoinDesk,"SOL, ADA Lead Crypto Majors' Gains as Bitcoin Traders Move Past $1B Liquidation Event",positive,0.7805283,0.12969849,0.08977314,0.7805283,0.6508298,stage5_news_13e934c6de2123e8
random,2023-06-19,Decrypt Media,BlackRock Bitcoin ETF Prospects Boost Institutional Investor Sentiment,positive,0.9475516,0.020935928,0.03151245,0.9475516,0.92661566,stage5_news_673252bf4427fd6a
random,2022-02-16,The Independent,Bitcoin market prepares for storm approaching,neutral,0.051909465,0.46486434,0.4832262,0.4832262,-0.41295487,stage5_news_b3b89c111ae0a770
random,2020-07-30,CoinDesk,Suspects Detained in Ukraine for Bomb Threats Demanding Bitcoin,negative,0.028026026,0.7638688,0.20810516,0.7638688,-0.73584276,stage5_news_7286e76a1c3fd8f5
random,2023-04-21,CoinDesk,"CoinDesk Had a 'Stash' of Bitcoin, and Other Stories Told by Consensus OG Joon Ian Wong",neutral,0.026952714,0.03314679,0.93990046,0.93990046,-0.0061940774,stage5_news_8a5144ccdf5aa2a3
random,2021-11-01,CoinDesk,"Fortress Technologies Buys 4,500 Bitcoin Mining Machines From Bitmain",neutral,0.12893322,0.009991029,0.8610757,0.8610757,0.11894219,stage5_news_5a7a751d61ba95d1
random,2021-12-29,FX Empire,Elon Musk Claims He Is Not the Creator of Bitcoin,neutral,0.02589462,0.106826544,0.8672788,0.8672788,-0.080931924,stage5_news_0450bb0a386505a8
random,2022-01-31,FX Empire,Peter Brandt Suggests It Could Be Time To Buy Bitcoin,neutral,0.17336851,0.010473353,0.8161581,0.8161581,0.16289516,stage5_news_6d4e0a10e5c82765
random,2021-11-09,GlobeNewswire,YouHodler Will Delist Bitcoin SV (BSV) to Protect Its Users Holdings,neutral,0.022997636,0.11876793,0.8582344,0.8582344,-0.0957703,stage5_news_32fc7d13a3e05826
random,2020-10-16,CoinDesk,First Mover: OKEx Private Key Snafu Sends Bitcoin Lower as China DeFi Rises,negative,0.03265769,0.93226945,0.03507286,0.93226945,-0.8996118,stage5_news_eb5835f5a8dfe09b
random,2019-04-02,Fortune,Here We Go Again: Bitcoin Hits Highest Levels Since Last December,positive,0.92303413,0.02487604,0.052089904,0.92303413,0.8981581,stage5_news_eef6ba595b29c102
random,2023-06-07,ACCESSWIRE,Jonathan Martin on Growing Interest in Bitcoin Among Minority Communities,neutral,0.27970675,0.009521818,0.7107714,0.7107714,0.27018493,stage5_news_2e2f23e02118b339
random,2024-02-19,Motley Fool,Better Bitcoin Mining Stock: Riot or Marathon?,neutral,0.045875322,0.046837762,0.90728694,0.90728694,-0.0009624399,stage5_news_7ff595002854217f
random,2021-06-14,Reuters,"Bitcoin tops $40,000 after Musk says Tesla could use it again",positive,0.78739834,0.024392867,0.1882088,0.78739834,0.7630055,stage5_news_acaff7c58fa18da2
random,2019-07-11,Motley Fool,"Crypto News: Provident Accepts Deposits, ATMs to Sell Bitcoin",neutral,0.07626224,0.014172762,0.9095649,0.9095649,0.06208948,stage5_news_bc19a6adb2ffdc32
random,2024-01-10,Business Insider,"Bitcoin could soar to $500,000 in the next 5 years as demand booms from ETFs, Fundstrat's Tom Lee says",positive,0.92380303,0.019265443,0.056931537,0.92380303,0.90453756,stage5_news_dce08233d8cdddab
random,2024-01-03,Motley Fool,"Can Bitcoin Reach $100,000?",neutral,0.1391386,0.014139557,0.8467218,0.8467218,0.12499904,stage5_news_f2b7924d97a9179e
random,2023-01-31,Business Insider,Bitcoin and other cryptos slump as the Fed gets ready to raise interest rates again,negative,0.014170267,0.94765586,0.038173854,0.94765586,-0.93348557,stage5_news_813bf26ef6fe188a
random,2023-12-28,Motley Fool,Can This Red-Hot Crypto Outperform Bitcoin Again in 2024?,neutral,0.30337036,0.0146418875,0.6819877,0.6819877,0.28872848,stage5_news_2c6720500b9c647c
random,2022-06-30,CoinDesk,First Mover Asia: How Traders Are Shorting Tether Stablecoins; Bitcoin Falls but Holds Above $20K,negative,0.05150162,0.8606075,0.087890916,0.8606075,-0.8091059,stage5_news_4696686ebeda7159
random,2024-07-29,CoinDesk,Trump's Talk of Bitcoin Reserve for the U.S. Leaves Industry Waiting for More Details,neutral,0.056587324,0.06569283,0.87771994,0.87771994,-0.009105504,stage5_news_fc4778ccb54f715d
random,2019-02-06,CCN,"Mining Bitcoin or the ‘Crypto-Ruble’ Just Another Form of Counterfeiting, Claims Russian Banking Chief",neutral,0.025231356,0.26321894,0.71154964,0.71154964,-0.23798758,stage5_news_34d26e4c4a1670b3
random,2023-08-04,CoinDesk,"First Mover Asia: Bitcoin Remains Calm Above $29.1 K, but Is Higher Volatility in Its Future?",neutral,0.31986484,0.18599236,0.49414277,0.49414277,0.13387248,stage5_news_0bdc6cadbf4f6e90
random,2018-11-23,CCN,It’s Rough Times for Miners amid Bitcoin Price Crash,negative,0.036103737,0.89603865,0.06785766,0.89603865,-0.8599349,stage5_news_5f7acb2daf493647
random,2023-02-06,Decrypt Media,Riot Just Mined The Most Bitcoin It Ever Has in a Month,neutral,0.10061802,0.059973124,0.8394089,0.8394089,0.040644895,stage5_news_a853a38d2f8dc851
random,2021-03-22,CoinDesk,"Bitcoin Uptrend Slows, Stays at $58K, Battles Resistance Near All-Time High",negative,0.06799253,0.90543264,0.026574811,0.90543264,-0.83744013,stage5_news_4828a63439e4c8c7
random,2022-06-22,FX Empire,Fed Chair Powell Drives Bitcoin (BTC) into Positive Territory,positive,0.83034825,0.07482819,0.09482359,0.83034825,0.75552005,stage5_news_b78e4d6a39c9c929
random,2023-10-13,CoinDesk,Bitcoin Wallet Maker Finances 3D-Printed Gun Documentary,neutral,0.084875,0.011310531,0.90381444,0.90381444,0.07356447,stage5_news_84d7210aa202ab49
random,2024-11-11,Semafor,Bitcoin soars over $80K for the first time as crypto hopes surge,positive,0.63497096,0.066172004,0.2988571,0.63497096,0.56879896,stage5_news_7235896eb5581cc3
random,2019-03-27,CCN,3 Bearish Factors That Will Slaughter This Bitcoin Price Rally,negative,0.028590275,0.51735836,0.45405138,0.51735836,-0.4887681,stage5_news_0f78fcb708fed90b
random,2024-07-16,Investopedia,"Cryptocurrency Price Movements Today: Bitcoin Tests $65K, Ether ETF Expected Next Week",neutral,0.20697583,0.05620486,0.73681927,0.73681927,0.15077098,stage5_news_d8e7a3519bec8254
random,2021-06-15,ACCESSWIRE,Bitcoin Latinum Announces Pre-Listing on CoinMarketCap Ahead of Public Launch,neutral,0.042716693,0.01541489,0.9418684,0.9418684,0.027301803,stage5_news_ccc7e160a498229c
random,2022-02-09,CoinDesk,Bitcoin Miners Offloaded Holdings as Prices Dropped to $33K,negative,0.009183006,0.9706572,0.020159818,0.9706572,-0.96147424,stage5_news_0c2631d584c340c4
random,2024-12-10,TheStreet,Marathon Digital Shifts Strategy with $1 Billion Convertible Notes Offering to Expand Bitcoin Holdings,positive,0.73884875,0.007993111,0.25315812,0.73884875,0.73085564,stage5_news_0790fcb6b6fb0f16
random,2022-09-14,GlobeNewswire,Vedder Price Helps Launch First Bitcoin ETF Registered and Regulated Exclusively under the Securities Act of 1933,neutral,0.2372089,0.0067743897,0.75601673,0.75601673,0.2304345,stage5_news_04d85e03052e04e1
random,2021-04-13,CoinDesk,US Bitcoin Mining Venture Raises $14M for All-Renewable Energy Mining,positive,0.8781618,0.0105903195,0.111247815,0.8781618,0.8675715,stage5_news_8eedebad7800e53b
high_positive,2020-04-06,CoinDesk,New Software Fix Offers Bitcoin Miners Increased Security,positive,0.9544139,0.01269927,0.032886855,0.9544139,0.94171464,stage5_news_c2a1a7f3e6177534
high_positive,2023-04-28,Fortune,Solana has outperformed Bitcoin and Ethereum since January thanks in part to Mad Lads NFTs,positive,0.95702976,0.01562893,0.027341248,0.95702976,0.9414008,stage5_news_1323dcd24b3c074d
high_positive,2021-06-27,ACCESSWIRE,"Link Global Technologies Operating Hashrate Increases 380%, Over 1.7 EH/s, With the Delivery of 12,000 Bitcoin Miners From Atlas Mining",positive,0.9579314,0.017726894,0.024341803,0.9579314,0.9402045,stage5_news_2beb529d077532f9
high_positive,2020-08-01,CoinDesk,Bitcoin Miners Saw 7% Revenue Increase in July,positive,0.95329183,0.014277331,0.032430857,0.95329183,0.9390145,stage5_news_001c93005f8fe6b6
high_positive,2021-08-01,CoinDesk,"Square’s Cash App Q2 Bitcoin Revenue Rose 200%, Takes $45M Bitcoin Impairment Loss",positive,0.9578742,0.0188638,0.02326205,0.9578742,0.9390104,stage5_news_7f2d25198b86ae7a
high_positive,2020-11-02,CoinDesk,Bitcoin Miners Saw 8% Revenue Increase in October,positive,0.9536265,0.014638854,0.031734604,0.9536265,0.9389877,stage5_news_963f13040a546910
high_positive,2021-12-23,CoinDesk,Marathon Digital to Expand Hashrate by 600% With Record Purchase of Bitcoin Miners,positive,0.9506778,0.011952685,0.03736955,0.9506778,0.9387251,stage5_news_2451a06da6ace375
high_positive,2020-12-04,GlobeNewswire,Investview (INVU) Reports Record $1.4 Million Month Bitcoin Mining Revenue and Increased Bitcoin Holdings,positive,0.9535938,0.015022386,0.031383917,0.9535938,0.9385714,stage5_news_b203d313de929839
high_positive,2021-08-03,CoinDesk,Marathon Digital Bitcoin Generation Increased 66% in July,positive,0.9513267,0.0127828475,0.035890333,0.9513267,0.93854386,stage5_news_55c283917b067abb
high_positive,2021-01-09,CoinDesk,Bitcoin Miners Saw 33% Revenue Increase in December,positive,0.9513767,0.012884887,0.035738464,0.9513767,0.93849176,stage5_news_1acc2e786bceac80
high_positive,2023-03-31,Forkast News,"Bitcoin miner TeraWulf reports 146% revenue growth, expanded mining capacity",positive,0.9531245,0.0149036525,0.031971753,0.9531245,0.93822086,stage5_news_b11f435226559736
high_positive,2019-05-07,Cointelegraph,Diar: Average Bitcoin Transaction Fees Increased by Nearly 200% From March to April,positive,0.9557924,0.017573344,0.026634283,0.9557924,0.9382191,stage5_news_bcc80d1f75f8b3f7
high_positive,2020-09-01,CoinDesk,Bitcoin Miners Saw 23% Revenue Increase in August,positive,0.951668,0.013629609,0.034702413,0.951668,0.9380384,stage5_news_2cff5119c6a78291
high_positive,2021-09-07,BeInCrypto,BTC On-Chain Analysis: Long-Term Indicators Present Healthy Market,positive,0.9555365,0.0175942,0.02686925,0.9555365,0.93794227,stage5_news_fd4062aaa15bed67
high_positive,2023-03-30,CoinDesk,Bitcoin Miner TeraWulf Reports 146% Increase in Revenue as It Ramps Up Operations,positive,0.9535365,0.015628118,0.03083542,0.9535365,0.9379084,stage5_news_585951867b70502d
high_positive,2021-01-04,GlobeNewswire,Investview (INVU) Reports New Record $1.88 Million Month Bitcoin Mining Revenue and Increased Bitcoin Holdings in its SAFETek Subsidiary,positive,0.95466053,0.016825445,0.028513988,0.95466053,0.9378351,stage5_news_b92ee09c0abcbdd8
high_positive,2023-08-03,CoinDesk,Marathon Digital Solidifies Position as World's Largest Publicly Traded Bitcoin Miner,positive,0.9500358,0.012327808,0.037636347,0.9500358,0.937708,stage5_news_12d5b3565fc123d6
high_positive,2021-04-13,BeInCrypto,Long-Term On-Chain Metrics Show BTC Has Room For Growth,positive,0.9504038,0.012714461,0.036881737,0.9504038,0.93768936,stage5_news_270bf0be5bbff8e1
high_positive,2023-09-25,Investing.com,"XRP Ledger surpasses 2.6 billion transactions, outperforming Bitcoin and Ethereum",positive,0.9570799,0.019414207,0.02350586,0.9570799,0.9376657,stage5_news_f31ce0edfec9aa4a
high_positive,2023-01-24,GlobeNewswire,Leading Bitcoin ATM Operator Bitcoin Depot Strengthens U.S. Footprint with New Retail Partnerships,positive,0.9526381,0.015190496,0.032171424,0.9526381,0.9374476,stage5_news_bc2640503bccc42d
high_positive,2019-02-04,Cointelegraph,"Stock Market Sees Significant Growth, While Bitcoin Keeps Stability Over Past 7 Days",positive,0.9534519,0.016324423,0.030223694,0.9534519,0.9371275,stage5_news_a38e93dacdc0f042
high_positive,2021-04-01,GlobeNewswire,Investview (“INVU”) Reports New Record $3.1 Million Month in Bitcoin Mining Revenue & Completed its Strategic Technology Migration Project Providing Significant Improvement to Gross Margins,positive,0.956357,0.019246588,0.024396418,0.956357,0.9371104,stage5_news_317f029d87ba063b
high_positive,2020-01-20,CoinDesk,London-Listed Argo Blockchain Reports 10-Fold Increase in Bitcoin Mining Revenue in 2019,positive,0.9532404,0.016192943,0.030566765,0.9532404,0.9370475,stage5_news_fa1d453535627320
high_positive,2023-11-13,GuruFocus.com,TeraWulf Inc (WULF) Reports Increased Revenue and Bitcoin Mining in Q3 2023,positive,0.9551182,0.01809274,0.026789114,0.9551182,0.9370254,stage5_news_d42c9c284a9e8b7b
high_positive,2023-09-20,Investing.com,Bitcoin’s Dominance Strengthens With Approval of ETFS and Regulatory Green Light,positive,0.9531801,0.01624638,0.030573562,0.9531801,0.9369337,stage5_news_cc131d5717a43db0
high_positive,2023-11-13,CNW Group,"DeFi Technologies Announces That its Subsidiary Valour Inc. Achieves Major Market Share Increase and AUM Growth, with Solana Surpassing Bitcoin",positive,0.95402473,0.017111974,0.028863324,0.95402473,0.9369128,stage5_news_d40852f9ffae114a
high_positive,2023-07-13,PR Newswire,CleanSpark's Bitcoin Production Achieves 8 EH/s as $55M Expansion Goes Live,positive,0.9521185,0.0152252605,0.032656178,0.9521185,0.9368933,stage5_news_f89729327a645dc5
high_positive,2021-07-12,ACCESSWIRE,"HIVE Buys 3,019 High Performance Bitcoin Miners Increasing Production By 46% Immediately",positive,0.9519543,0.015085153,0.03296057,0.9519543,0.93686914,stage5_news_96b215f851daca39
high_positive,2021-07-12,ACCESSWIRE,"REPEAT - HIVE Buys 3,019 High Performance Bitcoin Miners Increasing Production By 46% Immediately",positive,0.95388067,0.017064665,0.029054597,0.95388067,0.936816,stage5_news_50d30a9853199f54
high_positive,2021-04-23,GlobeNewswire,"Bitfarms Partners with Foundry to Expand Bitcoin Mining Fleet and Join Foundry USA Pool, Instantly Boosts Operating Hashrate By 15%",positive,0.9543786,0.01757489,0.028046573,0.9543786,0.9368037,stage5_news_056638f9a801470d
high_positive,2020-12-06,CoinDesk,Bitcoin Miners Saw 48% Revenue Increase in November,positive,0.9497012,0.0129453465,0.037353415,0.9497012,0.93675584,stage5_news_1e92cb75858f4904
high_positive,2021-05-04,BeInCrypto,"BTC, ETH On-Chain Analysis: NVT Ratio Supports Market Growth",positive,0.9515714,0.014870359,0.033558264,0.9515714,0.93670106,stage5_news_715ec5794871cd99
high_positive,2021-02-01,Benzinga,Mogo Posts Robust Bitcoin Transaction Volume In January,positive,0.95702106,0.020359341,0.022619711,0.95702106,0.9366617,stage5_news_2c90ff8eed0fcc0c
high_positive,2021-08-06,CoinDesk,Bitfarms’ Bitcoin Production Rose 47.5% in July,positive,0.953845,0.017308382,0.028846644,0.953845,0.93653667,stage5_news_a431fe60efcfba1e
high_positive,2021-11-04,CoinDesk,"Ether to Extend Outperformance Versus Bitcoin Following Recent Breakout, FSInsight Says",positive,0.9557405,0.01922698,0.025032485,0.9557405,0.93651354,stage5_news_f9bd5876ac6e63e3
high_positive,2020-12-03,ACCESSWIRE,bitFlyer Sees 3x Increase in Registrations and Highest Volume Month in 2020 As Bitcoin Hits ATH,positive,0.9510227,0.014716668,0.03426061,0.9510227,0.936306,stage5_news_270a0a46a13a8830
high_positive,2018-12-21,Bitcoin Magazine,"Despite Slump in Crypto Prices, Bitcoin ATMs More Than Doubled in 2018",positive,0.95171887,0.015624643,0.03265649,0.95171887,0.9360942,stage5_news_646b865a2d609134
high_positive,2021-10-05,GlobeNewswire,"DarkPulse Subsidiary, OPTILAN, Wins New Two-Year Contract on BTC Crude Oil Pipeline - Continues to Safeguard the BTC Pipeline Following Successful First Year of Maintenance",positive,0.9500171,0.014070152,0.035912756,0.9500171,0.93594694,stage5_news_fce806fefa825537
high_positive,2021-03-01,ACCESSWIRE,"HIVE Blockchain Surpasses Its Bitcoin Mining Capacity Goal of 2,000 PH/s for 2021 to a New Level of 2,474 PH/s or 2.474 EH/s",positive,0.95021003,0.014306282,0.035483733,0.95021003,0.9359037,stage5_news_8f9b9c9f008420e0
high_positive,2021-10-11,Fortune,Bitcoin is up 30% in October—and within striking range of its all-time high,positive,0.9527094,0.016839765,0.030450856,0.9527094,0.93586963,stage5_news_2cf34d378bb9849e
high_positive,2024-08-06,CoinMarketCap,"Bernstein Maintains Positive Bitcoin's Q3 Outlook, Cites Growing Institutional Adoption",positive,0.95058084,0.014723852,0.034695294,0.95058084,0.935857,stage5_news_057bdf3312d56ab0
high_positive,2024-11-07,TipRanks,Iris Energy Boosts Revenue with Bitcoin and AI Expansion,positive,0.94883996,0.013047178,0.038112838,0.94883996,0.9357928,stage5_news_337cb42ad70d9313
high_positive,2020-04-05,The Block,Bitcoin trading volume on exchanges grew 61 percent in Q1 compared to previous quarter,positive,0.95600265,0.02024234,0.023754977,0.95600265,0.9357603,stage5_news_0ecc6de131416c69
high_positive,2020-06-05,The Block,"Bitcoin derivatives market is growing faster than spot market, suggesting rising institutionalization in the space",positive,0.95150447,0.015776392,0.032719135,0.95150447,0.9357281,stage5_news_6608162eb6cb386f
high_positive,2023-09-12,PR Newswire,BTC Digital Ltd. Regains Compliance with Nasdaq Minimum Bid Price Requirement,positive,0.955849,0.02014007,0.024010912,0.955849,0.93570894,stage5_news_293b84b55e1e421d
high_positive,2020-06-17,CoinDesk,Number of Bitcoin ‘Whales’ Has Risen by 2% Since Halving,positive,0.94913167,0.013494037,0.03737428,0.94913167,0.93563765,stage5_news_8495a1976c10c8c6
high_positive,2018-11-02,CoinDesk,Bitcoin Sees New Price Support From 7-Year-Long Rising Trendline,positive,0.9505043,0.014879785,0.034615967,0.9505043,0.93562454,stage5_news_c059732c555cf55a
high_positive,2021-04-06,CoinDesk,"Riding Bitcoin Surge, Coinbase Active Users Grew by 117% in Q1 2021; Revenue Tops $1.8B",positive,0.94889325,0.013342729,0.037764076,0.94889325,0.9355505,stage5_news_36895cdd59269cab
high_positive,2021-07-03,CoinDesk,Marathon Digital Reports 17% Increase in Bitcoin Production for June,positive,0.9489663,0.013433968,0.03759966,0.9489663,0.93553233,stage5_news_cecd9b2cb76d28f1
high_positive,2023-12-19,Motley Fool,"Up More Than 150% for the Year, These 3 Cryptos Have the Potential to Outperform Bitcoin in 2024",positive,0.9526121,0.017275086,0.030112704,0.9526121,0.935337,stage5_news_2dbad30dfd45afe4
high_positive,2022-05-10,GlobeNewswire,"InvestmentPitch Media Video Discusses LUXXFOLIO’s Increase in Bitcoin Mined in April to Approximately 180 PH/s, up 6% Month over Month",positive,0.9490477,0.013760396,0.03719186,0.9490477,0.9352873,stage5_news_9431860da52209a1
high_positive,2019-09-09,Decrypt,Bitcoin dominance rose significantly over the last three months,positive,0.9523129,0.01704138,0.030645726,0.9523129,0.9352715,stage5_news_2a1ad000e38b0fbc
high_positive,2020-01-13,Decrypt,Bitcoin price gained 30% against Tezos in the last month,positive,0.9519369,0.016856002,0.03120702,0.9519369,0.9350809,stage5_news_0cfa7fe3ea9883e4
high_positive,2024-01-06,News Direct,"PawFury, anticipates accelerated momentum with the impending approval of a Bitcoin ETF, marking a significant leap in digital innovation for gaming.",positive,0.9501056,0.015049673,0.0348446,0.9501056,0.9350559,stage5_news_8331caf4fd276676
high_positive,2023-09-21,Investing.com,Bitcoin's sustainable energy mix surpasses 50% amid reduced carbon footprint,positive,0.9456784,0.010665229,0.04365636,0.9456784,0.9350132,stage5_news_9abaf8fd22d07515
high_positive,2023-04-11,GlobeNewswire,CleanSpark to Double its Bitcoin Mining Capacity with $144.9M Expansion Deal,positive,0.9468062,0.011940158,0.041253652,0.9468062,0.934866,stage5_news_6c1330c36bdb14c0
high_positive,2022-03-03,CoinDesk,Bitcoin Miner Mawson to Expand U.S. Mining Facility Capability to 7.5 EH/s,positive,0.94662005,0.011806515,0.04157343,0.94662005,0.93481356,stage5_news_a5c21eae9c90b99b
high_positive,2021-08-24,Yahoo Finance,Bitcoin mining 'golden age' shows higher profits and demand for more infrastructure,positive,0.9550186,0.020216353,0.02476505,0.9550186,0.93480223,stage5_news_e7b4ec83f2c58a1b
high_positive,2024-02-28,CoinDesk,El Salvador's Bukele Says Value of Country's Bitcoin Holdings Up Over 40%,positive,0.95274943,0.01797262,0.02927795,0.95274943,0.9347768,stage5_news_ec8cf42dc8b7d9cf
high_positive,2019-08-19,CoinDesk,Bitcoin’s Price is Up More Than $1K Since Bakkt Futures News,positive,0.95066446,0.015926858,0.033408623,0.95066446,0.9347376,stage5_news_ab3ff0bbc4735a4a
high_negative,2023-02-23,CoinDesk,Block’s Q4 Bitcoin Revenue Fell 7% Year Over Year to $1.83B,negative,0.0066020996,0.975977,0.017420925,0.975977,-0.9693749,stage5_news_acf36eb3bbf37d2b
high_negative,2020-04-11,The Block,Bitcoin futures volume on CME and Bakkt fell sharply in March,negative,0.007161734,0.97640926,0.016429009,0.97640926,-0.9692475,stage5_news_a981971955663bfd
high_negative,2021-12-09,CoinDesk,Bitcoin Miner Iris Energy’s Monthly Revenue Fell 10% in November on Higher Difficulty,negative,0.006307322,0.975205,0.01848772,0.975205,-0.9688977,stage5_news_4c3a0de6354e22b0
high_negative,2020-07-07,The Block,Bitcoin and Ethereum futures volume fell dramatically in June,negative,0.0071357717,0.9759613,0.016902965,0.9759613,-0.9688256,stage5_news_59c42a92da6da9a5
high_negative,2020-07-02,CoinDesk,Bitcoin Miners Saw 23% Revenue Drop in June,negative,0.007125719,0.9758252,0.017049044,0.9758252,-0.96869946,stage5_news_8cdcb140ab2d951d
high_negative,2020-10-02,CoinDesk,Bitcoin Miners Saw 11% Revenue Drop in September,negative,0.0071940282,0.9758648,0.016941119,0.9758648,-0.9686708,stage5_news_69f82981d8eb369f
high_negative,2024-10-14,CoinDesk,"Bitcoin Mining Profitability Fell in September, Jefferies Says",negative,0.0072237896,0.9753066,0.017469613,0.9753066,-0.9680828,stage5_news_325c78a7ad6e4d22
high_negative,2024-01-23,Bloomberg,Bitcoin Has Dropped About 20% Since Landmark US Spot ETFs Began Trading,negative,0.0073630544,0.9752519,0.017385056,0.9752519,-0.96788883,stage5_news_d5a5721c595afaca
high_negative,2024-08-16,CoinDesk,"Bitcoin Mining Profitability Fell to All Time Lows in August, JPMorgan Analyst Says",negative,0.006963959,0.9748096,0.01822644,0.9748096,-0.9678456,stage5_news_d0b2d5fd097a8cac
high_negative,2020-07-01,The Block,Bitcoin spot market volume fell by over 30% in June while DEXs picked up market share,negative,0.007696724,0.97543675,0.016866505,0.97543675,-0.96774,stage5_news_ed322be1bdf9ede7
